"","subject","stream","orientation","efficacy","latency","precision","val","warnings","valGuessing","pLRtest"
"89","AW","Left","Canonical",0.661238481033751,0.244067668234739,0.922640002231124,246.814482187454,"None",323.75826156717,3.82013018099097e-33
"90","AW","Left","Inverted",0.514894230144784,0.0556739861972028,0.68311394335201,274.761953074902,"None",334.100931667146,1.48644346938665e-25
"91","AW","Right","Canonical",0.211957680663078,0.0388013741637179,0.6774330704508,320.808711750876,"None",333.308415204701,1.54449077285713e-05
"92","AW","Right","Inverted",0.33628621076475,0.0163247483899876,0.900678183160457,309.294643378645,"None",332.805451284593,3.43900397815737e-10
"93","AX","Left","Canonical",0.422970536678811,0.0630105057795633,0.758298979973249,295.750987646606,"None",335.622614080837,3.48423083896731e-17
"94","AX","Left","Inverted",0.400000470229297,0.480191794030369,0.125915938743418,283.309800379122,"None",331.380699709464,1.04934582312677e-20
"95","AX","Right","Canonical",0.423378910480633,0.0476435092153155,0.521614577894307,281.602818950355,"None",330.384527229385,5.19208440931592e-21
"96","AX","Right","Inverted",0.319299741397625,-0.106877466536821,0.492182175666973,300.311157597032,"None",331.671236988631,1.54134567564422e-13
"97","AY","Left","Canonical",1e-05,4,4,390.775690405105,"None",390.775599659054,1
"98","AY","Left","Inverted",1e-05,4,4,397.555143898205,"None",397.554856232145,1
"99","AY","Right","Canonical",1e-05,4,4,389.576200308595,"None",389.576056700272,1
"100","AY","Right","Inverted",1e-05,4,4,383.84496391078,"None",383.844798561836,1
"101","AZ","Left","Canonical",0.345785183422463,-0.160121590722463,0.884739507510797,307.589548835949,"None",332.412788365753,9.50136281738595e-11
"102","AZ","Left","Inverted",0.373227759036924,-0.144254746700875,0.589869958790476,299.142123803779,"None",335.4685286094,1.15363385311697e-15
"103","AZ","Right","Canonical",0.523512984920731,-0.347572050068647,0.955323571961948,279.645385238275,"None",329.137543214526,2.56965621559763e-21
"104","AZ","Right","Inverted",0.603822221737121,0.083167294632878,0.811983250796731,262.847029940365,"None",333.110195025214,2.91053073707426e-30
"105","BA","Left","Canonical",0.467119064884835,0.417653053012843,0.736658429172081,283.590010913746,"None",331.12179304396,1.78918350201396e-20
"106","BA","Left","Inverted",0.161293610229897,-0.118608619482326,0.745565450793332,329.374422109464,"None",336.452244430758,0.00270076958480185
"107","BA","Right","Canonical",0.37343513711991,0.175394923335162,0.887473509100558,303.108475082358,"None",331.46947519637,2.94614158362208e-12
"108","BA","Right","Inverted",0.279819928276411,0.0704949901277919,0.748480007485018,319.633121965772,"None",339.112621347736,1.77072758802233e-08
"109","BB","Left","Canonical",0.23826117100914,0.371599584346059,1e-05,301.279481060569,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",331.867904008174,3.29444992370048e-13
"110","BB","Left","Inverted",0.238261678070318,-0.480444168801704,1e-05,301.423431414769,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",332.011854412212,3.29444976211169e-13
"111","BB","Right","Canonical",0.337143892499972,-0.120119209231979,0.252701417585141,283.986032089512,"None",331.437076141942,1.93801601788675e-20
"112","BB","Right","Inverted",0.245681818173807,0.143110905641438,0.354289791254923,308.769010913279,"None",332.918502686605,1.83927168922827e-10
"113","BC","Left","Canonical",0.834313672682549,-0.025069242847297,0.626555078565006,177.152267650294,"None",321.640995251472,2.41662959844487e-62
"114","BC","Left","Inverted",0.253589873287717,-0.230463060594167,1.77198773041539,325.864123151467,"None",333.562885897173,0.0015066021263556
"115","BC","Right","Canonical",0.144347880440963,1.32770948626403,1e-05,328.325836107153,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",341.881346734616,5.58012380073721e-06
"116","BC","Right","Inverted",0.689923703956855,0.0314492115746093,0.788134032093782,233.145907637708,"None",323.653709414132,5.32278379065639e-39
"117","BD","Left","Canonical",0.728644676753828,0.189939517894092,0.644147542575171,216.607798895288,"None",327.186779883082,1.12823787499445e-47
"118","BD","Left","Inverted",0.430367152524978,0.340736437391866,0.394496729998358,273.408353989916,"None",327.583890720107,2.48412909674788e-23
"119","BD","Right","Canonical",0.457391530267777,0.0958513611093231,1e-05,245.681237636778,"list(message = ""NaNs produced"", call = pnorm(binStart + binWidth, latency, precision))",331.206230830029,7.55068004077477e-37
"120","BD","Right","Inverted",0.439689943287311,-0.0268270357324938,0.501332202731727,277.359879444186,"None",329.801642803487,1.38423023394382e-22
"121","BE","Left","Canonical",0.860777989369906,0.489730062907174,0.849531661958307,190.407676819318,"None",323.499489292189,2.06591975827281e-57
"122","BE","Left","Inverted",0.15557997532622,1.13451863989134,0.493913312989665,323.887602572363,"None",333.005645385995,0.000393186318675411
"123","BE","Right","Canonical",0.280001354467934,0.548637458724295,0.132854925936326,306.805730917262,"None",333.881821809332,1.04126164803535e-11
"124","BE","Right","Inverted",0.529125152824678,0.372942809894702,0.690266185982423,265.798304184862,"None",326.885530234086,2.62480553849013e-26
