experimentPhase	block	condition	trialnum	subject	task	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	word1_0	word1_1	word1_2	word1_3	word1_4	word1_5	word1_6	word1_7	word1_8	word1_9	word1_10	word1_11	word1_12	word1_13	word1_14	word1_15	word1_16	word1_17	Seq1_0	Seq1_1	Seq1_2	Seq1_3	Seq1_4	Seq1_5	Seq1_6	Seq1_7	Seq1_8	Seq1_9	Seq1_10	Seq1_11	Seq1_12	Seq1_13	Seq1_14	Seq1_15	Seq1_16	Seq1_17	word2_0	word2_1	word2_2	word2_3	word2_4	word2_5	word2_6	word2_7	word2_8	word2_9	word2_10	word2_11	word2_12	word2_13	word2_14	word2_15	word2_16	word2_17	Seq2_0	Seq2_1	Seq2_2	Seq2_3	Seq2_4	Seq2_5	Seq2_6	Seq2_7	Seq2_8	Seq2_9	Seq2_10	Seq2_11	Seq2_12	Seq2_13	Seq2_14	Seq2_15	Seq2_16	Seq2_17	timingBlips	file	SOA	letterdurDesired	letterDurFrames	letterdur	side	answer	correct	targetSP	response	SPE
main	1	0	1	MBL	T1	0	False	False	True	h	r	x	c	o	m	b	g	a	p	f	e	w	l	d	k	t	s	0	3	8	17	13	1	11	5	14	7	12	10	9	15	16	4	2	6	h	r	x	c	o	m	b	g	a	p	f	e	w	l	d	k	t	s	9	14	17	1	12	16	6	13	2	8	3	11	15	0	5	4	10	7	0	MBL_14May2019_11-06.txt	400	300	18	300	left	E	1	6	E	0
main	1	0	1	MBL	T1	0	False	False	True	h	r	x	c	o	m	b	g	a	p	f	e	w	l	d	k	t	s	0	3	8	17	13	1	11	5	14	7	12	10	9	15	16	4	2	6	h	r	x	c	o	m	b	g	a	p	f	e	w	l	d	k	t	s	9	14	17	1	12	16	6	13	2	8	3	11	15	0	5	4	10	7	0	MBL_14May2019_11-06.txt	400	300	18	300	right	B	1	6	B	0
main	1	0	2	MBL	T1	0	False	False	True	m	h	a	j	v	i	f	o	c	k	g	n	l	z	q	e	x	p	5	0	2	10	12	16	3	11	14	15	13	7	4	6	8	9	17	1	m	h	a	j	v	i	f	o	c	k	g	n	l	z	q	e	x	p	5	13	16	3	7	4	8	9	6	15	2	0	17	11	1	12	10	14	0	MBL_14May2019_11-06.txt	400	300	18	300	left	X	1	5	X	0
main	1	0	2	MBL	T1	0	False	False	True	m	h	a	j	v	i	f	o	c	k	g	n	l	z	q	e	x	p	5	0	2	10	12	16	3	11	14	15	13	7	4	6	8	9	17	1	m	h	a	j	v	i	f	o	c	k	g	n	l	z	q	e	x	p	5	13	16	3	7	4	8	9	6	15	2	0	17	11	1	12	10	14	0	MBL_14May2019_11-06.txt	400	300	18	300	right	V	1	5	V	0
main	1	0	3	MBL	T1	0	False	False	True	t	v	l	c	z	e	o	u	p	f	k	g	b	x	w	q	j	a	12	6	9	2	17	7	5	14	15	13	0	8	4	1	10	11	16	3	t	v	l	c	z	e	o	u	p	f	k	g	b	x	w	q	j	a	5	7	13	6	14	1	11	2	8	15	10	17	16	9	0	12	3	4	0	MBL_14May2019_11-06.txt	400	300	18	300	left	U	1	5	U	0
main	1	0	3	MBL	T1	0	False	False	True	t	v	l	c	z	e	o	u	p	f	k	g	b	x	w	q	j	a	12	6	9	2	17	7	5	14	15	13	0	8	4	1	10	11	16	3	t	v	l	c	z	e	o	u	p	f	k	g	b	x	w	q	j	a	5	7	13	6	14	1	11	2	8	15	10	17	16	9	0	12	3	4	0	MBL_14May2019_11-06.txt	400	300	18	300	right	V	1	5	V	0
main	1	0	4	MBL	T1	0	False	False	True	i	b	v	y	g	h	s	t	m	x	f	u	n	c	q	w	j	l	17	16	6	7	4	5	14	8	15	13	10	0	3	2	9	12	1	11	i	b	v	y	g	h	s	t	m	x	f	u	n	c	q	w	j	l	15	10	9	13	7	0	8	4	5	1	16	12	2	11	17	6	3	14	0	MBL_14May2019_11-06.txt	400	300	18	300	left	H	1	5	H	0
main	1	0	4	MBL	T1	0	False	False	True	i	b	v	y	g	h	s	t	m	x	f	u	n	c	q	w	j	l	17	16	6	7	4	5	14	8	15	13	10	0	3	2	9	12	1	11	i	b	v	y	g	h	s	t	m	x	f	u	n	c	q	w	j	l	15	10	9	13	7	0	8	4	5	1	16	12	2	11	17	6	3	14	0	MBL_14May2019_11-06.txt	400	300	18	300	right	I	1	5	I	0
main	1	0	5	MBL	T1	0	False	False	False	h	z	r	n	e	j	y	b	i	a	w	q	t	g	k	u	f	o	7	8	6	15	9	2	14	1	11	0	3	16	10	5	17	13	12	4	h	z	r	n	e	j	y	b	i	a	w	q	t	g	k	u	f	o	11	12	6	8	1	5	14	0	10	16	7	15	4	2	3	13	17	9	0	MBL_14May2019_11-06.txt	400	300	18	300	left	F	1	11	F	0
main	1	0	5	MBL	T1	0	False	False	False	h	z	r	n	e	j	y	b	i	a	w	q	t	g	k	u	f	o	7	8	6	15	9	2	14	1	11	0	3	16	10	5	17	13	12	4	h	z	r	n	e	j	y	b	i	a	w	q	t	g	k	u	f	o	11	12	6	8	1	5	14	0	10	16	7	15	4	2	3	13	17	9	0	MBL_14May2019_11-06.txt	400	300	18	300	right	U	0	11	S	4
main	1	0	6	MBL	T1	0	False	False	False	p	m	f	o	s	k	d	i	x	r	z	l	u	g	y	j	w	q	1	4	14	15	11	12	16	8	7	2	6	3	10	0	17	9	5	13	p	m	f	o	s	k	d	i	x	r	z	l	u	g	y	j	w	q	6	2	15	13	11	17	16	9	5	0	14	1	10	8	4	7	3	12	0	MBL_14May2019_11-06.txt	400	300	18	300	left	U	1	5	U	0
main	1	0	6	MBL	T1	0	False	False	False	p	m	f	o	s	k	d	i	x	r	z	l	u	g	y	j	w	q	1	4	14	15	11	12	16	8	7	2	6	3	10	0	17	9	5	13	p	m	f	o	s	k	d	i	x	r	z	l	u	g	y	j	w	q	6	2	15	13	11	17	16	9	5	0	14	1	10	8	4	7	3	12	0	MBL_14May2019_11-06.txt	400	300	18	300	right	Q	0	5	D	-5
main	1	0	7	MBL	T1	0	False	False	False	i	q	k	c	d	a	v	x	p	t	n	h	z	u	g	e	m	f	10	4	2	7	8	16	12	13	6	11	9	17	15	1	14	5	3	0	i	q	k	c	d	a	v	x	p	t	n	h	z	u	g	e	m	f	3	7	13	4	15	17	5	12	8	16	11	9	10	6	14	1	2	0	0	MBL_14May2019_11-06.txt	400	300	18	300	left	F	1	11	F	0
main	1	0	7	MBL	T1	0	False	False	False	i	q	k	c	d	a	v	x	p	t	n	h	z	u	g	e	m	f	10	4	2	7	8	16	12	13	6	11	9	17	15	1	14	5	3	0	i	q	k	c	d	a	v	x	p	t	n	h	z	u	g	e	m	f	3	7	13	4	15	17	5	12	8	16	11	9	10	6	14	1	2	0	0	MBL_14May2019_11-06.txt	400	300	18	300	right	T	0	11	I	6
main	1	0	8	MBL	T1	0	False	False	True	j	w	n	c	o	z	a	e	d	k	f	t	i	m	b	h	u	v	11	3	13	10	15	2	14	8	0	1	9	12	7	4	5	17	6	16	j	w	n	c	o	z	a	e	d	k	f	t	i	m	b	h	u	v	13	15	5	0	11	1	4	12	8	10	7	14	16	2	3	9	17	6	0	MBL_14May2019_11-06.txt	400	300	18	300	left	W	1	9	W	0
main	1	0	8	MBL	T1	0	False	False	True	j	w	n	c	o	z	a	e	d	k	f	t	i	m	b	h	u	v	11	3	13	10	15	2	14	8	0	1	9	12	7	4	5	17	6	16	j	w	n	c	o	z	a	e	d	k	f	t	i	m	b	h	u	v	13	15	5	0	11	1	4	12	8	10	7	14	16	2	3	9	17	6	0	MBL_14May2019_11-06.txt	400	300	18	300	right	F	0	9	H	-8
main	1	0	9	MBL	T1	0	False	False	False	b	i	w	l	q	f	n	k	r	p	y	h	e	s	z	o	v	j	8	4	17	9	3	16	15	14	13	7	1	6	11	0	10	5	2	12	b	i	w	l	q	f	n	k	r	p	y	h	e	s	z	o	v	j	3	5	16	7	10	8	17	4	2	0	15	12	11	14	13	6	1	9	0	MBL_14May2019_11-06.txt	400	300	18	300	left	Z	1	7	Z	0
main	1	0	9	MBL	T1	0	False	False	False	b	i	w	l	q	f	n	k	r	p	y	h	e	s	z	o	v	j	8	4	17	9	3	16	15	14	13	7	1	6	11	0	10	5	2	12	b	i	w	l	q	f	n	k	r	p	y	h	e	s	z	o	v	j	3	5	16	7	10	8	17	4	2	0	15	12	11	14	13	6	1	9	0	MBL_14May2019_11-06.txt	400	300	18	300	right	Q	0	7	H	5
main	1	0	10	MBL	T1	0	False	False	True	w	i	s	r	a	h	e	q	o	p	v	c	k	l	b	z	f	m	5	4	15	10	13	6	2	1	12	8	9	17	16	0	7	3	14	11	w	i	s	r	a	h	e	q	o	p	v	c	k	l	b	z	f	m	6	14	16	3	9	17	0	1	7	13	8	10	2	15	4	5	11	12	0	MBL_14May2019_11-06.txt	400	300	18	300	left	P	1	10	P	0
main	1	0	10	MBL	T1	0	False	False	True	w	i	s	r	a	h	e	q	o	p	v	c	k	l	b	z	f	m	5	4	15	10	13	6	2	1	12	8	9	17	16	0	7	3	14	11	w	i	s	r	a	h	e	q	o	p	v	c	k	l	b	z	f	m	6	14	16	3	9	17	0	1	7	13	8	10	2	15	4	5	11	12	0	MBL_14May2019_11-06.txt	400	300	18	300	right	O	1	10	O	0
main	1	0	11	MBL	T1	0	False	False	True	n	m	f	j	l	a	d	h	w	g	v	s	t	y	e	u	o	q	0	7	1	10	12	4	11	17	8	16	5	9	6	2	15	13	14	3	n	m	f	j	l	a	d	h	w	g	v	s	t	y	e	u	o	q	16	7	11	8	14	4	0	9	2	13	3	5	10	15	1	6	17	12	0	MBL_14May2019_11-06.txt	400	300	18	300	left	W	1	8	W	0
main	1	0	11	MBL	T1	0	False	False	True	n	m	f	j	l	a	d	h	w	g	v	s	t	y	e	u	o	q	0	7	1	10	12	4	11	17	8	16	5	9	6	2	15	13	14	3	n	m	f	j	l	a	d	h	w	g	v	s	t	y	e	u	o	q	16	7	11	8	14	4	0	9	2	13	3	5	10	15	1	6	17	12	0	MBL_14May2019_11-06.txt	400	300	18	300	right	F	1	8	F	0
main	1	0	12	MBL	T1	0	False	False	True	y	p	i	c	q	k	m	b	r	z	u	s	f	o	n	g	e	d	6	7	8	5	14	10	17	2	9	3	4	0	1	15	13	11	16	12	y	p	i	c	q	k	m	b	r	z	u	s	f	o	n	g	e	d	8	7	5	3	11	4	0	12	15	17	6	9	13	10	1	2	16	14	0	MBL_14May2019_11-06.txt	400	300	18	300	left	Y	1	11	Y	0
main	1	0	12	MBL	T1	0	False	False	True	y	p	i	c	q	k	m	b	r	z	u	s	f	o	n	g	e	d	6	7	8	5	14	10	17	2	9	3	4	0	1	15	13	11	16	12	y	p	i	c	q	k	m	b	r	z	u	s	f	o	n	g	e	d	8	7	5	3	11	4	0	12	15	17	6	9	13	10	1	2	16	14	0	MBL_14May2019_11-06.txt	400	300	18	300	right	Z	1	11	Z	0
main	1	0	13	MBL	T1	0	False	False	True	n	j	g	w	u	q	b	y	a	t	r	s	l	p	h	o	c	d	8	2	15	3	9	6	7	14	12	16	0	5	1	13	10	4	11	17	n	j	g	w	u	q	b	y	a	t	r	s	l	p	h	o	c	d	12	0	6	14	5	16	15	2	7	11	17	4	10	8	1	13	9	3	0	MBL_14May2019_11-06.txt	400	300	18	300	left	N	1	10	N	0
main	1	0	13	MBL	T1	0	False	False	True	n	j	g	w	u	q	b	y	a	t	r	s	l	p	h	o	c	d	8	2	15	3	9	6	7	14	12	16	0	5	1	13	10	4	11	17	n	j	g	w	u	q	b	y	a	t	r	s	l	p	h	o	c	d	12	0	6	14	5	16	15	2	7	11	17	4	10	8	1	13	9	3	0	MBL_14May2019_11-06.txt	400	300	18	300	right	D	1	10	D	0
main	1	0	14	MBL	T1	0	False	False	False	z	p	y	e	r	s	k	l	v	f	t	q	n	x	c	g	o	a	1	15	5	16	3	12	9	10	7	14	8	0	17	13	11	4	2	6	z	p	y	e	r	s	k	l	v	f	t	q	n	x	c	g	o	a	10	7	6	16	14	2	1	13	15	3	4	5	0	8	17	12	9	11	0	MBL_14May2019_11-06.txt	400	300	18	300	left	C	1	9	C	0
main	1	0	14	MBL	T1	0	False	False	False	z	p	y	e	r	s	k	l	v	f	t	q	n	x	c	g	o	a	1	15	5	16	3	12	9	10	7	14	8	0	17	13	11	4	2	6	z	p	y	e	r	s	k	l	v	f	t	q	n	x	c	g	o	a	10	7	6	16	14	2	1	13	15	3	4	5	0	8	17	12	9	11	0	MBL_14May2019_11-06.txt	400	300	18	300	right	E	0	9	U	-8
main	1	0	15	MBL	T1	0	False	False	False	i	c	p	u	h	n	s	f	q	e	d	l	t	j	k	y	w	m	9	15	14	6	13	7	10	2	17	16	11	5	3	12	8	1	0	4	i	c	p	u	h	n	s	f	q	e	d	l	t	j	k	y	w	m	12	9	6	0	3	4	2	15	5	11	7	10	8	1	13	17	16	14	0	MBL_14May2019_11-06.txt	400	300	18	300	left	U	1	12	U	0
